Source,url,Heading,author,date
edition.cnn.com,https://edition.cnn.com/2025/07/25/politics/ghislaine-maxwell-trump-epstein-doj,Trump makes problematic Ghislaine Maxwell situation look even worse,Aaron Blake,"PUBLISHED Jul 25, 2025, 5:37 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/us/video/ghislaine-maxwell-doj-attorney-questions-meeting-digvid,‘The truth will come out’: Maxwell’s attorney shares details of meeting,,
edition.cnn.com,https://edition.cnn.com/2025/07/25/politics/video/what-happened-at-the-white-house-this-week-digvid,From continued Epstein fallout to an attack on Obama: Kaitlan Collins breaks down week at the White House,,
edition.cnn.com,https://edition.cnn.com/videos/fast/cnni-fast,Catch up on today’s global news,CNN Staff,
edition.cnn.com,https://edition.cnn.com/2025/07/25/climate/australia-toxic-algal-bloom-disaster-climate-dst-intl-hnk,An algal bloom the size of Rhode Island is suffocating everything in its path,Lex Harvey,"PUBLISHED Jul 25, 2025, 9:58 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/politics/gabbard-2016-election-interference-russia-analysis,How Tulsi Gabbard is trying to rewrite the history of the 2016 election,Zachary B. Wolf,"PUBLISHED Jul 26, 2025, 5:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/sport/yu-zidi-swimming-phenom-intl,Yu Zidi: The 12-year-old Chinese phenom taking the swimming world by storm,Ben Church,"PUBLISHED Jul 26, 2025, 5:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/entertainment/hulk-hogan-netflix-documentary,Hulk Hogan was filming a Netflix documentary at the time of his death,Elizabeth Wagmeister,"PUBLISHED Jul 25, 2025, 7:03 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/us/joe-loya-bank-robber-cec,He robbed 24 banks and now counsels other offenders. But don’t call his life a redemption story,Faith Karimi,"PUBLISHED Jul 26, 2025, 6:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/world/video/taiwan-zero-day-military-will-ripley-china-legislature-digvid,"As Taiwan voters decide fate of ‘pro-China’ lawmakers, TV show paints ominous future",Wayne Chang,
edition.cnn.com,https://edition.cnn.com/politics/gender-identity-care-restrictions-anti-lgbtq-laws-vis,See where gender identity care is restricted and where it’s protected across the US,Annette Choi,"PUBLISHED Jul 26, 2025, 8:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/india/india-bjp-english-language-tensions-intl-hnk-dst,Why Hindu nationalists have begun targeting India’s English speakers,,"PUBLISHED Jul 25, 2025, 8:30 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/india/kanwar-yatra-india-pilgrimage-intl-hnk,"Toasting the god of destruction and renewal, these Hindu pilgrims party hard. Not everyone is thrilled.",,"PUBLISHED Jul 24, 2025, 10:53 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/23/style/luxury-fashion-brands-cultural-missteps-india,Prada ‘sandal scandal’ demonstrates luxury fashion’s India dilemma,Alysha Bibi,"PUBLISHED Jul 23, 2025, 9:39 PM ET"
edition.cnn.com,https://edition.cnn.com/style/abu-dhabi-photographer-architecture-almoosawi-spc-hnk,This photographer is on a mission to define his country’s ‘architectural identity’,Rebecca Cairns,
edition.cnn.com,https://edition.cnn.com/2025/07/22/style/beaches-in-britain,‘Going to the beach’ looks very different in Britain,,
edition.cnn.com,https://edition.cnn.com/2025/07/20/style/video/fashioneering-christina-ernst-digvid,Could ‘fashioneering’ be a future trend?,,
edition.cnn.com,https://edition.cnn.com/2025/07/24/style/artist-amy-sherald-cancels-smithsonian-exhibition,Artist cancels major exhibition over portrait of trans State of Liberty,Jacqui Palumbo,"PUBLISHED Jul 24, 2025, 4:02 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/travel/european-versus-us-ice-water-debate,"Americans are obsessed with ice, but Europeans hate it. Here’s why",Francesca Street,"PUBLISHED Jul 25, 2025, 9:40 AM ET"
edition.cnn.com,https://edition.cnn.com/travel/mangrove-photography-award-2025-c2e-spc,"Bright pink birds, a snacking monkey and lurking crocodiles among winners of photo prize",Nell Lewis,
edition.cnn.com,https://edition.cnn.com/2025/07/26/climate/georgia-bucees-interstate-lights-sea-turtles,"Baby sea turtles in Georgia are struggling to find the ocean this season. Massive interstate lights are to blame, experts say",Julianna Bragg,"PUBLISHED Jul 26, 2025, 7:00 AM ET"
edition.cnn.com,https://edition.cnn.com/science/hawaii-mosquitoes-rare-birds-drones-c2e-spc,Thousands of mosquitoes are being dropped by drone over islands in Hawaii. Here’s why,Nell Lewis,
edition.cnn.com,https://edition.cnn.com/2025/07/25/science/neanderthal-diet-maggots-rotten-meat,"Real Paleo diet: Neanderthals dined on rotten meat and maggots, study suggests",Katie Hunt,"PUBLISHED Jul 25, 2025, 2:00 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/science/asteroid-2024-yr4-potential-lunar-impact,Asteroid that will spare Earth might hit the moon instead. What happens if it does?,Ashley Strickland,"PUBLISHED Jul 25, 2025, 9:32 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/health/video/breast-cancer-alcohol-consumption-tirrell-digvid,"Breast cancer rates are rising, could alcohol consumption be the cause?",Meg Tirrell,
edition.cnn.com,https://edition.cnn.com/2025/07/25/entertainment/fantastic-four-mcu-movie-no-guide,Marvel finally made a movie you don’t need a guide to follow,Dan Heching,"PUBLISHED Jul 25, 2025, 10:08 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/business/astronomer-kristin-cabot-resigns-coldplay-video-hnk,"Astronomer chief people officer, Kristin Cabot, resigns after viral Coldplay video",Luciana Lopez,"PUBLISHED Jul 24, 2025, 11:33 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/entertainment/kelly-osbourne-ozzy-death-intl-scli,Kelly Osbourne says she’s lost her ‘best friend’ with dad Ozzy’s death,Issy Ronald,"PUBLISHED Jul 25, 2025, 5:24 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/travel/travel-news-europe-oversized-bags,Europe’s biggest airline weighs up increasing bonuses for staff who spot oversize bags,Maureen O'Hare,"PUBLISHED Jul 26, 2025, 6:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/travel/venice-poveglia-island-scli-intl,‘Haunted’ Venice island to become a locals-only haven where tourists are banned,,"PUBLISHED Jul 25, 2025, 11:15 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/travel/video/switzerland-floating-commute-aare-rhine-lbg-ldn-digvid,"This Swiss River is so clean, locals use it to commute to work",,
edition.cnn.com,https://edition.cnn.com/2025/07/25/health/teens-dating-apps-wellness,Here’s why teens don’t belong on dating apps,Kara Alaimo,"PUBLISHED Jul 25, 2025, 10:05 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/health/walking-full-body-exercise-wellness,What you should know to get the most out of your walking routine,Dana Santas,"PUBLISHED Jul 24, 2025, 1:48 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/us/yuri-williams-a-future-superhero-and-friends-cnnheroes,How one man’s superhero mission has brightened thousands of lives in all 50 states,Monica Hill,"PUBLISHED Jul 25, 2025, 7:47 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/sport/martin-donnelly-f1-movie-crash-intl,Former racing driver Martin Donnelly had a ‘reality check’ seeing his near-fatal crash recreated in F1 the Movie,Don Riddell,"PUBLISHED Jul 26, 2025, 4:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/sport/tour-de-france-shorten-stage-diseased-cows-intl,Tour de France organizers shorten stage to avoid diseased cows,Ben Morse,"PUBLISHED Jul 25, 2025, 6:26 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/sport/katie-ledecky-swimming-world-championships-intl,Katie Ledecky looks toward ‘exciting’ head to head with Summer McIntosh at World Aquatics Championships,Amy Woodyatt,"PUBLISHED Jul 25, 2025, 7:41 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/tech/daydream-ai-online-shopping,‘Revenge dress for a party in Sicily’: This platform is using AI to make online shopping hyper-personal,Clare Duffy,"PUBLISHED Jul 26, 2025, 4:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/business/cottage-cheese-tiktok-good-culture,"TikTok made cottage cheese so popular, producers are struggling to keep up",Danielle Wiener-Bronner,"PUBLISHED Jul 26, 2025, 7:00 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/tech/meta-ai-superintelligence-team-who-its-hiring,Meta is shelling out big bucks to get ahead in AI. Here’s who it’s hiring,Clare Duffy,
edition.cnn.com,https://edition.cnn.com/2025/07/25/politics/house-ethics-aoc-met-gala,House Ethics report finds AOC ‘impermissibly accepted gifts’ related to 2021 Met Gala appearance,Veronica Stracqualursi,"PUBLISHED Jul 25, 2025, 5:27 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/politics/education-funds-release,Trump administration will release more than $5 billion in frozen education funding,Sunlen Serfaty,"PUBLISHED Jul 25, 2025, 6:23 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/americas/hockey-canada-sexual-assault-acquittal-latam-intl,Why the Hockey Canada sexual assault trial matters beyond the acquittals,Paula Newton,"PUBLISHED Jul 24, 2025, 7:49 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/world/india-man-fake-embassy-intl,"A man in India ran a fake embassy, Indian police say",,"PUBLISHED Jul 25, 2025, 4:39 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/travel/flight-attendant-bathroom-recordings-sentencing-hnk,Flight attendant who police say secretly recorded girls in airplane bathroom sentenced to 18.5 years,Associated Press,"PUBLISHED Jul 24, 2025, 12:35 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/26/world/video/snow-leopard-baby-born-uk-zoo-digvid,Rare snow leopard baby born at UK zoo,,
edition.cnn.com,https://edition.cnn.com/climate/images-arctic-glaciers-retreat-c2e-spc,Before and after photos show Arctic glaciers’ dramatic retreat,Jacopo Prisco,
edition.cnn.com,https://edition.cnn.com/travel/klamath-river-indigenous-paddle-c2e-spc,This river is running free for the first time in a century,Nell Lewis,
edition.cnn.com,https://edition.cnn.com/science/gallery/bearded-vultures-near-extinction-conservation-photos-c2e-spc,Bone-eating vultures make a return,,
edition.cnn.com,https://edition.cnn.com/2025/07/23/style/singapore-long-island-dfi,Singapore may build a multi-billion dollar ‘Long Island’ of its own,Oscar Holland,
edition.cnn.com,https://edition.cnn.com/2025/07/25/sport/hulk-hogan-death-analysis-spt,Wrestling with the dueling legacies of Terry Bollea and Hulk Hogan,Kyle Feldscher,"PUBLISHED Jul 25, 2025, 5:08 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/24/entertainment/anne-burrell-death-suicide,"Anne Burrell died by suicide, medical examiner finds",Alli Rosenbloom,"PUBLISHED Jul 24, 2025, 1:15 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/23/us/emmanuel-brigitte-macron-candace-owens-lawsuit,French president sues Candace Owens over claims his wife is a man,Joseph Ataman,"PUBLISHED Jul 23, 2025, 1:38 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/23/entertainment/the-osbournes-reality-tv,How ‘The Osbournes’ changed reality TV,Lisa Respers France,
edition.cnn.com,https://edition.cnn.com/travel/halfeti-turkey-underwater-city-black-roses,The underwater city where black roses bloom,Alexander Rodway,
edition.cnn.com,https://edition.cnn.com/2025/07/23/asia/philippines-wedding-flood-photos-intl-hnk,Wet wedding ‘just a test’: Filipino couple ties knot in flooded church during typhoon,Story by the Associated Press,"PUBLISHED Jul 23, 2025, 1:11 AM ET"
edition.cnn.com,https://edition.cnn.com/travel/what-to-do-saadiyat-cultural-district-abu-dhabi-hnk-spc,You can walk between the Louvre and the Guggenheim in this new art district,Rebecca Cairns,
edition.cnn.com,https://edition.cnn.com/2025/07/22/asia/bangladesh-plane-crash-witnesses-intl-hnk,Distraught students demand answers after plane crash turned Bangladesh school into ‘death trap’,Helen Regan,
